Tipo_Animal,Color,Hábitat,Dieta,Peso,Altura,Edad,Nombre,Fecha
Jirafa,Blanco,Montaña,Carnívoro,281.1541838,,56.37773595,Animal_0x,2023-09-18
xSerpiente,Gris,Océano,orovínmO,,0.601732868,59.0,Animal_1,
Cabra,Negro,Sabana,Carnívoro,40.17642436,0.401378109,8.0,2_laminA,
Panda,Verde,ogaLx,orovínmO,441.0370696,0.351538419,,Animal_3x,
osO,Negrox,Lago,orovínraC,39.86161556,1.962735696,,Animal_4,
xxetnoreconiR,Rojo,Océanox,Herbívoro,353.6949945,1.752464979,,Animal_5,
xarbaC,Azulx,Lago,Omnívoro,460.0990439,3.617891416,95.0,Animal_6,2024-12-30
agutroT,olliramA,Océano,Carnívoro,136.0711185,,29.0,Animal_7,
Jirafa,edreV,Selva,Omnívoro,185.8752271,0.349184447,,Animal_8,
Burro,Gris,Sabana,Omnívoro,284.8917815,1.183503988,74.44547249,Animal_9x,
Águila,xxojoR,Sabana,Carnívoro,,1.443883066,45.0,Animal_10,
Ballena,Amarillo,Desierto,orovínmO,471.010888,2.783298722,13.0,Animal_11x,
Oso,Marrón,onaécO,Carnívoroxx,370.0420608,0.808124597,27.0,Animal_12,
Oso,Grisx,Sabana,Herbívoro,44.22326067,,19.0,Animal_13,
nórubiT,ocnalB,Desierto,Omnívoro,334.9079236,4.724565557,26.68265272,41_laminA,
Tortuga,Marrón,Bosque,Herbívoro,205.7415572,,53.0,Animal_15,
Tigre,Rojox,otreiseD,Omnívoro,,0.98520902,,Animal_16xxx,
Rinoceronte,Marrónx,Montaña,xorovínmO,25.52504678,3.371826404,,71_laminA,
Tiburón,Blanco,Río,orovínmO,96.34000753,1.842547796,9.0,Animal_18x,2020-11-28
Elefante,Verde,Selva,xorovínraC,395.4662902,3.975919963,,Animal_19,
xnífleD,nórraM,Bosque,xorovíbreH,227.5254577,2.600043291,96.0,Animal_20x,
Tortuga,luzAx,Río,Omnívoro,151.5294586,,52.68903118,Animal_21,
Gato,Gris,Río,Carnívoro,192.6255179,3.721061109,54.71711009,22_laminAxx,
Tiburón,Amarillox,euqsoB,Omnívoro,,1.142584732,3.0,Animal_23x,2024-11-14
xoboL,nórraM,Montaña,xorovínraC,376.778013,1.388328813,96.0,Animal_24,
Cerdo,Gris,Desiertox,orovínmO,136.8853832,0.420524102,69.0,Animal_25xx,
arbeC,Negro,Selva,xorovíbreH,59.63341827,2.539007162,8.0,x62_laminAx,
Gato,Gris,Desiertox,Herbívoro,126.7471126,,13.16739559,72_laminA,2021-05-14
Oveja,Amarillox,Sabanax,orovínmO,460.4574691,1.285338286,3.0,82_laminA,
Tortuga,sirG,otreiseD,Carnívoro,,,24.0,Animal_29,
