Tipo_Animal,Color,Hábitat,Dieta,Peso,Altura,Edad,Nombre,Fecha
Jirafa,Blanco,Montaña,Carnívoro,281.1541838,,56.37773595,Animal_0x,09-18-2023
etneipreSx,Gris,Océano,orovínmO,,0.601732868,59,Animal_1,07/07/2023
Cabra,Negro,Sabana,Carnívoro,40.17642436,0.401378109,8,2_laminA,07/01/2020
Panda,Verde,ogaLx,orovínmO,441.0370696,0.351538419,,Animal_3x,08/10/2022
osO,Negrox,Lago,orovínraC,39.86161556,1.962735696,,Animal_4,21/09/2024
Rinocerontexx,Rojo,Océanox,Herbívoro,353.6949945,1.752464979,,Animal_5,23-2024-02
Cabrax,Azulx,Lago,Omnívoro,460.0990439,3.617891416,95,Animal_6,12-30-2024
agutroT,olliramA,Océano,Carnívoro,136.0711185,,29,Animal_7,08/08/2020
Jirafa,edreV,Selva,Omnívoro,185.8752271,0.349184447,,Animal_8,14/02/2020
Burro,Gris,Sabana,Omnívoro,284.8917815,1.183503988,74.44547249,Animal_9x,30/12/2020
Águila,xxojoR,Sabana,Carnívoro,,1.443883066,45,Animal_10,19/08/2022
Ballena,Amarillo,Desierto,orovínmO,471.010888,2.783298722,13,Animal_11x,11/29/2024
Oso,Marrón,onaécO,xxorovínraC,370.0420608,0.808124597,27,Animal_12,16/07/2020
Oso,Grisx,Sabana,Herbívoro,44.22326067,,19,Animal_13,14/12/2020
nórubiT,ocnalB,Desierto,Omnívoro,334.9079236,4.724565557,26.68265272,41_laminA,31/05/2021
Tortuga,Marrón,Bosque,Herbívoro,205.7415572,,53,Animal_15,23/11/2022
Tigre,Rojox,otreiseD,Omnívoro,,0.98520902,,Animal_16xxx,03/07/2024
Rinoceronte,Marrónx,Montaña,Omnívorox,25.52504678,3.371826404,,71_laminA,21/11/2020
Tiburón,Blanco,Río,orovínmO,96.34000753,1.842547796,9,Animal_18x,11-28-2020
Elefante,Verde,Selva,Carnívorox,395.4662902,3.975919963,,Animal_19,17/09/2020
Delfínx,nórraM,Bosque,Herbívorox,227.5254577,2.600043291,96,Animal_20x,06/09/2020
Tortuga,luzAx,Río,Omnívoro,151.5294586,,52.68903118,Animal_21,11/04/2024
Gato,Gris,Río,Carnívoro,192.6255179,3.721061109,54.71711009,22_laminAxx,11/12/2020
Tiburón,Amarillox,euqsoB,Omnívoro,,1.142584732,3,Animal_23x,11-14-2024
Lobox,nórraM,Montaña,Carnívorox,376.778013,1.388328813,96,Animal_24,02/07/2022
Cerdo,Gris,Desiertox,orovínmO,136.8853832,0.420524102,69,Animal_25xx,15/04/2021
