Tipo_Animal,Color,Hábitat,Dieta,Peso,Altura,Edad,Nombre,Fecha
Jirafa,Blanco,Montaña,Carnívoro,281.15,2.57,56,Animal_0,
Serpiente,Gris,Océano,Omnívoro,247.13,0.6,59,Animal_1,2023-07-07
Cabra,Negro,Sabana,Carnívoro,40.18,0.4,8,,2020-01-07
Panda,Verde,Lago,Omnívoro,441.04,0.35,50,Animal_3,2022-10-08
Oso,Negro,Lago,Carnívoro,39.86,1.96,50,Animal_4,2024-09-21
Rinoceronte,Rojo,Océano,Herbívoro,353.69,1.75,50,Animal_5,
Cabra,Azul,Lago,Omnívoro,460.1,3.62,95,Animal_6,
Tortuga,Amarillo,Océano,Carnívoro,136.07,2.57,29,Animal_7,2020-08-08
Jirafa,Verde,Selva,Omnívoro,185.88,0.35,50,Animal_8,2020-02-14
Burro,Gris,Sabana,Omnívoro,284.89,1.18,74,Animal_9,2020-12-30
Águila,Rojo,Sabana,Carnívoro,247.13,1.44,45,Animal_10,2022-08-19
Ballena,Amarillo,Desierto,Omnívoro,471.01,2.78,13,Animal_11,2024-11-29
Oso,Marrón,Océano,Carnívoro,370.04,0.81,27,Animal_12,2020-07-16
Oso,Gris,Sabana,Herbívoro,44.22,2.57,19,Animal_13,2020-12-14
Tiburón,Blanco,Desierto,Omnívoro,334.91,4.72,26,,2021-05-31
Tortuga,Marrón,Bosque,Herbívoro,205.74,2.57,53,Animal_15,2022-11-23
Tigre,Rojo,Desierto,Omnívoro,247.13,0.99,50,Animal_16,2024-07-03
Rinoceronte,Marrón,Montaña,Omnívoro,25.53,3.37,50,,2020-11-21
Tiburón,Blanco,Río,Omnívoro,96.34,1.84,9,Animal_18,
Elefante,Verde,Selva,Carnívoro,395.47,3.98,50,Animal_19,2020-09-17
Delfín,Marrón,Bosque,Herbívoro,227.53,2.6,96,Animal_20,2020-09-06
Tortuga,Amarillo,Río,Omnívoro,151.53,2.57,52,Animal_21,2024-04-11
Gato,Gris,Río,Carnívoro,192.63,3.72,54,,2020-12-11
Tiburón,Amarillo,Bosque,Omnívoro,247.13,1.14,3,Animal_23,
Lobo,Marrón,Montaña,Carnívoro,376.78,1.39,96,Animal_24,2022-07-02
Cerdo,Gris,Desierto,Omnívoro,136.89,0.42,69,Animal_25,2021-04-15
Cabra,Negro,Selva,Herbívoro,59.63,2.54,8,,
Gato,Gris,Desierto,Herbívoro,126.75,2.57,13,,
Oveja,Amarillo,Sabana,Omnívoro,460.46,1.29,3,,2021-06-18
Tortuga,Gris,Desierto,Carnívoro,247.13,2.57,24,Animal_29,
Perro,Blanco,Lago,Omnívoro,267.21,0.19,50,Animal_30,2024-11-27
Lobo,Rojo,Bosque,Carnívoro,298.6,3.89,43,Animal_31,2021-05-11
Burro,Amarillo,Selva,Omnívoro,247.13,0.94,29,Animal_32,
